,Names,Gender,Hair_Color,Tags,Anime,Manga
55105,Eruko SHINDOU,Female,Blonde Hair,"['Adult', 'Glasses', 'Pervert']",['Shingeki no Eroko-san'],
55106,Mel ANNA,Female,Green Hair,['Magical Girl'],"['Magia Record: Puella Magi Madoka Magica Side Story', 'Magia Record: Puella Magi Madoka Magica Side Story Final Season - Dawn of a Shallow Dream', 'Magia Record: Puella Magi Madoka Magica Side Story Season 2 - The Eve of Awakening']",
55107,Mika HAYAMURA,Female,Brown Hair,['Adult'],['Thus Spoke Kishibe Rohan'],
55108,Ninja Rick,Male,Grey Hair,"['Eye Patch', 'Facial Hair', 'Ninja']",['Rick and Morty: Samurai & Shogun'],
55109,Richt HILDEBRANDT,Male,,['Bring the Love'],,
55110,Marty's Mother,Female,Blonde Hair,['Violet Evergarden: Eternity and the Auto Memory Doll'],,
55111,Asahi MINAMIKAWA,Male,Brown Hair,"['Middle School Student', 'Teenager']","['Mewkledreamy', 'Mewkledreamy Mix!']",
55112,Lukas RANDALL,Male,Black Hair,['Police'],['Purple Hyacinth'],
55113,Fumi ISSHIKI,Female,Brown Hair,['Child'],['Appare-Ranman!'],
55114,Khun's Mother,Female,,['Tower of God'],['Tower of God'],
55115,Kouji YUKAWA,Male,Brown Hair,"['Athlete', 'High School Student', 'Teenager', 'Volleyball Player']",['Haikyuu!! Second Season'],
55116,Marilla,Female,Black Hair,"['Adult', 'Blinding Bangs', 'Choker', 'Hair Buns']",['Princess Principal'],
55117,Eiji MAKADO,Male,Black Hair,"['Athlete', 'High School Student', 'Teenager', 'Volleyball Player']",['Haikyuu!! Second Season'],
55118,Midori KOSHIKA,Male,Black Hair,"['Crossdresser', 'High School Student', 'Hot-Headed', 'Teenager', 'Tsundere', 'Uke']",['Himitsu ni Shiro yo!!'],
