,Names,Gender,Hair_Color,Tags,Anime,Manga
428,Accelerator,Male,White Hair,"['Cannibal', 'Hot-Headed', 'Photographic Memory', 'Psychic Powers', 'Sadistic', 'Superpowers', 'Teenager']","['A Certain Magical Index', 'A Certain Magical Index 10th Anniversary PV', 'A Certain Magical Index II', 'A Certain Magical Index III', 'A Certain Magical Index Movie: The Miracle of Endymion', 'A Certain Magical Index-tan', 'A Certain Magical Index-tan II', 'A Certain Scientific Accelerator', 'A Certain Scientific Railgun S', 'A Certain Scientific Railgun S Specials', 'A Certain Scientific Railgun T']","['A Certain Everyday Index-san', 'A Certain Idol Accelerator', 'A Certain Magical Index', 'A Certain Magical Index (Light Novel)', 'A Certain Magical Index: New Testament (Light Novel)', 'A Certain Magical Index SS (Light Novel)', 'A Certain Magical Index: The Miracle of Endymion', 'A Certain Scientific Accelerator', 'A Certain Scientific Dark Matter', 'A Certain Scientific Railgun', 'A Certain Scientific Railgun: Astral Buddy', 'Genesis Testament: A Certain Magical Index (Light Novel)']"
429,Elizabeth THOMPSON,Female,Brown Hair,"['Hat', 'Shapeshifter', 'Teenager']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
430,Ayato NAOI,Male,Black Hair,"['Big Ego', 'God Complex', 'Hat', 'Student Council']","['Angel Beats!', ""Angel Beats! Hell's Kitchen"", 'Angel Beats! Stairway to Heaven']","[""Angel Beats! Heaven's Door""]"
431,Leone,Female,Blonde Hair,"['Assassin', 'Heavy Drinker', 'Scantily-clad', 'Scarf']","['Akame ga Kill!', 'Akame ga Kill! Theater']","['Akame ga Kill!', 'Akame ga Kill! 1.5']"
432,Bell CRANEL,Male,White Hair,"['Armor', 'Elemental Powers', 'Fire Powers', 'Knife Fighter', 'Magic User', 'Orphan', 'Poor', 'Teenager']","['Is It Wrong to Try to Pick Up Girls in a Dungeon?', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? II', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? III', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? III OVA', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? II OVA', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? IV', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? IV: Part II', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Play Back | Reminisce', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? OVA', 'Musani Juchuu-hen', 'Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side']","['Is it Wrong to Try to Pick Up Girls in a Dungeon?', 'Is it Wrong to Try to Pick Up Girls in a Dungeon? Days of Goddess', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle Episode Lyu', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle (Light Novel)', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? II', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? (Light Novel)', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria', 'Is It Wrong to Try to Pick Up Girls in a Dungeon? Sword Oratoria (Light Novel)']"
433,Anya FORGER,Female,Pink Hair,"['Child', 'Psychic Powers']","['SPY x FAMILY', 'SPY x FAMILY: Part II']",['SPY x FAMILY']
434,Kanna KAMUI,Female,Multicolored Hair,"['Dragon', 'Elementary School Student', 'Exotic Eyes', 'Hair Ribbons', 'Headband', 'Horns', 'Human Guise', 'Kuudere', 'Pigtails', 'Rosy Cheeks', 'Shapeshifter', 'Tail']","[""Miss Kobayashi's Dragon Maid"", ""Miss Kobayashi's Dragon Maid S"", ""Miss Kobayashi's Dragon Maid S: Japanese Hospitality (The Attendant Is a Dragon)"", ""Miss Kobayashi's Dragon Maid Specials"", ""Miss Kobayashi's Dragon Maid S Short Animation Series"", ""Miss Kobayashi's Dragon Maid S Short Animation Series Specials"", ""Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up)""]","[""Miss Kobayashi's Dragon Maid"", ""Miss Kobayashi's Dragon Maid: Kanna's Daily Life""]"
435,Kisame HOSHIGAKI,Male,Blue Hair,"['Adult', 'Anti-Gravity Hair', 'Beastmaster', 'Elemental Powers', 'Headband', 'Ninja', 'Oversized Weapon', 'Sharp Teeth', 'Sword Fighter', 'Water Powers']","['Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto Shippuden', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals']","['Naruto', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
436,Sousuke AIZEN,Male,Brown Hair,"['Agent of the Afterlife', 'Analytical', 'Combat Illusionist', 'Glasses', 'Invisibility Powers', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']",['Bleach']
437,Emilia,Female,Grey Hair,"['Braids', 'Elemental Powers', 'Elf', 'Half-Breed', 'Ice Powers', 'Magic User', 'Pointy Ears', 'Spirit Seer']","['He Wei Dao x Re:ZERO: Starting Life in Another World', 'Isekai Quartet', 'Isekai Quartet 2', 'Isekai Quartet Relay PV', 'Re:Petit kara Hajimeru Isekai Seikatsu', 'Re:ZERO: Starting Break Time From Zero', 'Re:ZERO: Starting Break Time From Zero 2nd Season', 'Re:ZERO: Starting Life in Another World', 'Re:ZERO: Starting Life in Another World - Memory Snow', 'Re:ZERO: Starting Life in Another World - Memory Snow - Manner Movie', 'Re:ZERO: Starting Life in Another World Season 2', 'Re:ZERO: Starting Life in Another World Season 2: Part II', 'Re:ZERO: Starting Life in Another World - The Frozen Bond']","['Re:ZERO kara Hajimeru Isekai Seikatsu Tanpenshuu (Light Novel)', 'Re:ZERO -Starting Life in Another World- Chapter 1: A Day in the Capital', 'Re:ZERO -Starting Life in Another World- Chapter 2: A Week at the Mansion', 'Re:ZERO -Starting Life in Another World- Chapter 3: Truth of Zero', 'Re:ZERO -Starting Life in Another World- Chapter 4: Sanctuary and Witch of Greed', 'Re:ZERO -Starting Life in Another World- (Light Novel)', 'Re:ZERO: Starting Life in Another World - The Frozen Bond']"
438,Saya TAKAGI,Female,Pink Hair,"['Analytical', 'Bossy', 'Glasses', 'Hair Ribbons', 'High School Student', 'Pigtails', 'Snaggletooth', 'Teenager', 'Tsundere', 'Wealthy']","['Highschool of the Dead', 'Highschool of the Dead: Drifters of the Dead']","['Gakuen Mokushiroku: Highschool of the Head', 'Highschool of the Dead']"
439,Sanae FURUKAWA,Female,Brown Hair,"['Adult', 'Cook', 'Hair Antenna', 'Hair Ribbons', 'Merchant', 'Ponytail']","['Clannad', 'Clannad After Story', 'Clannad Movie', 'Kaginado']","['Clannad', 'Clannad: 4-Koma Manga Gekijou', 'Clannad: Hikaru Mimamoru Sakamichi de']"
